drmin,drmax,selection,output_file,reduction_factor
0.01,0.6000,0.2584,wzp6_ee_Hmunumuqq_ecm125.root,0.105457
0.01,0.6000,0.2584,wzp6_ee_Hqqmunumu_ecm125.root,0.164412
0.01,0.6000,0.2584,wzp6_ee_Htaunutauqq_ecm125.root,0.725457
0.01,0.6000,0.2584,wzp6_ee_Hqqtaunutau_ecm125.root,0.772604
0.01,0.6000,0.2895,wzp6_ee_Henueqq_ecm125.root,0.11345444444444444
0.01,0.6000,0.2895,wzp6_ee_Hqqenue_ecm125.root,0.174064
0.01,0.6000,0.2895,wzp6_ee_Hmunumuqq_ecm125.root,0.097988
0.01,0.6000,0.2895,wzp6_ee_Hqqmunumu_ecm125.root,0.158153
0.01,0.6000,0.2895,wzp6_ee_Htaunutauqq_ecm125.root,0.723096
0.01,0.6000,0.2895,wzp6_ee_Hqqtaunutau_ecm125.root,0.770234
0.01,0.6000,0.3205,wzp6_ee_Henueqq_ecm125.root,0.10595111111111111
0.01,0.6000,0.3205,wzp6_ee_Hqqenue_ecm125.root,0.167743
0.01,0.6000,0.3205,wzp6_ee_Hmunumuqq_ecm125.root,0.091188
0.01,0.6000,0.3205,wzp6_ee_Hqqmunumu_ecm125.root,0.152693
0.01,0.6000,0.3205,wzp6_ee_Htaunutauqq_ecm125.root,0.720976
0.01,0.6000,0.3205,wzp6_ee_Hqqtaunutau_ecm125.root,0.768201
0.01,0.6000,0.3516,wzp6_ee_Henueqq_ecm125.root,0.09911555555555555
0.01,0.6000,0.3516,wzp6_ee_Hqqenue_ecm125.root,0.162321
0.01,0.6000,0.3516,wzp6_ee_Hmunumuqq_ecm125.root,0.085077
0.01,0.6000,0.3516,wzp6_ee_Hqqmunumu_ecm125.root,0.147774
0.01,0.6000,0.3516,wzp6_ee_Htaunutauqq_ecm125.root,0.719003
0.01,0.6000,0.3516,wzp6_ee_Hqqtaunutau_ecm125.root,0.766368
0.01,0.6000,0.3826,wzp6_ee_Henueqq_ecm125.root,0.0929
0.01,0.6000,0.3826,wzp6_ee_Hqqenue_ecm125.root,0.157276
0.01,0.6000,0.3826,wzp6_ee_Hmunumuqq_ecm125.root,0.079361
0.01,0.6000,0.3826,wzp6_ee_Hqqmunumu_ecm125.root,0.143525
0.01,0.6000,0.3826,wzp6_ee_Htaunutauqq_ecm125.root,0.717202
0.01,0.6000,0.3826,wzp6_ee_Hqqtaunutau_ecm125.root,0.764665
0.01,0.6000,0.4137,wzp6_ee_Henueqq_ecm125.root,0.08712222222222223
0.01,0.6000,0.4137,wzp6_ee_Hqqenue_ecm125.root,0.152769
0.01,0.6000,0.4137,wzp6_ee_Hmunumuqq_ecm125.root,0.074072
0.01,0.6000,0.4137,wzp6_ee_Hqqmunumu_ecm125.root,0.139676
0.01,0.6000,0.4137,wzp6_ee_Htaunutauqq_ecm125.root,0.715551
